trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.1999999999999997, 'e': 0.30727873860113125}",30,11,11.142505950399674,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.1999999999999997, 'e': 0.30119421191220214}",20,12,-31.497224253903717,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
62,False,"{'a': 0.1999999999999997, 'e': 0.2952301669240142}",20,8,-19.854832653785653,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.1999999999999997, 'e': 0.2893842179390506}",20,16,9.458472954377502,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.1999999999999997, 'e': 0.2836540264997704}",25,8,10.123585147643029,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.1999999999999997, 'e': 0.27803730045319414}",30,3,-0.5103555952233407,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 0}",1
66,False,"{'a': 0.1999999999999997, 'e': 0.2725317930340126}",25,0,12.340692379196057,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.1999999999999997, 'e': 0.26713530196585034}",20,0,-36.720523737402765,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
68,False,"{'a': 0.1999999999999997, 'e': 0.261845668580326}",20,0,-16.29425404474213,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
69,False,"{'a': 0.1999999999999997, 'e': 0.2566607769535559}",20,0,-15.803049602355074,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
70,False,"{'a': 0.1999999999999997, 'e': 0.25157855305975646}",30,16,-45.38337649570535,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.1999999999999997, 'e': 0.24659696394160643}",20,13,-10.151475941282868,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.1999999999999997, 'e': 0.24171401689703645}",20,0,-29.17563891365216,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 0.1999999999999997, 'e': 0.23692775868212176}",20,8,-12.311074198689376,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.1999999999999997, 'e': 0.23223627472975883}",20,7,17.18326459860126,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.1999999999999997, 'e': 0.22763768838381274}",30,0,-52.24958867685225,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
76,False,"{'a': 0.1999999999999997, 'e': 0.22313016014842982}",20,14,11.861540458974291,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.1999999999999997, 'e': 0.21871188695221475}",30,19,-24.970030524830186,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.1999999999999997, 'e': 0.21438110142697794}",25,16,9.500375104862956,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.1999999999999997, 'e': 0.21013607120076472}",25,0,-44.14614871533745,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.1999999999999997, 'e': 0.20597509820488344}",30,4,28.130306823813854,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.1999999999999997, 'e': 0.20189651799465538}",20,0,-6.622183618827395,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.1999999999999997, 'e': 0.19789869908361465}",20,12,12.012738446575543,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.1999999999999997, 'e': 0.19398004229089189}",25,14,-26.16893475273466,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
84,False,"{'a': 0.1999999999999997, 'e': 0.1901389801015205}",25,5,23.06353437152871,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.1999999999999997, 'e': 0.18637397603940997}",20,14,9.253638467697339,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.1999999999999997, 'e': 0.18268352405273466}",20,10,-22.87851811074497,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.1999999999999997, 'e': 0.17906614791149322}",25,8,-11.05452735030995,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.1999999999999997, 'e': 0.17552040061699686}",25,11,-20.15037314201327,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.1999999999999997, 'e': 0.17204486382305054}",30,0,28.991983910601075,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.1999999999999997, 'e': 0.1686381472685955}",35,18,21.463741887714196,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.1999999999999997, 'e': 0.16529888822158653}",20,10,-36.73268525664229,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.1999999999999997, 'e': 0.16202575093388075}",25,3,4.966533430672372,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.1999999999999997, 'e': 0.15881742610692068}",25,7,19.582332615531353,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.1999999999999997, 'e': 0.1556726303679973}",25,0,13.870642958111214,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
95,False,"{'a': 0.1999999999999997, 'e': 0.15259010575688386}",20,10,-21.86836517810894,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
96,False,"{'a': 0.1999999999999997, 'e': 0.14956861922263504}",20,9,-21.740677198287198,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.1999999999999997, 'e': 0.14660696213035015}",35,12,26.74744961151438,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.1999999999999997, 'e': 0.14370394977770293}",25,7,24.583925912444663,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.1999999999999997, 'e': 0.140858420921045}",20,3,21.877562704385547,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.1999999999999997, 'e': 0.13806923731089282}",25,17,13.969125245443623,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
